Position,Artist,Song Title
1,Justin Bieber,Love Yourself
2,Justin Bieber,Sorry
3,Drake feat. WizKid & Kyla,One Dance
4,Rihanna feat. Drake,Work
5,twenty one pilots,Stressed Out
6,Desiigner,Panda
7,Adele,Hello
8,The Chainsmokers feat. Daya,Don't Let Me Down
9,Justin Timberlake,Can't Stop The Feeling!
10,The Chainsmokers feat. Halsey,Closer
11,Sia feat. Sean Paul,Cheap Thrills
12,Lukas Graham,7 Years
13,Rihanna,Needed Me
14,Flo Rida,My House
15,Mike Posner,I Took A Pill In Ibiza
16,Fifth Harmony feat. Ty Dolla $ign,Work From Home
17,Calvin Harris feat. Rihanna,This Is What You Came For
18,DNCE,Cake By The Ocean
19,G-Easy x Bebe Rexha,"Me, Myself & I"
20,twenty one pilots, Ride
21,twenty one pilots,Heathens
22,Zayn,Pillowtalk
23,Shawn Mendes,Stitches
24,Drake,Hotline Bling
25,Major Lazer feat. Justin Bieber & MO,Cold Water
26,Adele,Send My Love (To Your New Lover)
27,The Chainsmokers feat. Rozes,Roses
28,Shawn Mendes,Treat You Better
29,Drake feat. Rihanna, Too Good
30, Future feat. The Weeknd,Low Life
31,Justin Bieber,What Do You Mean?
32,The Weeknd,The Hills
33,P!nk,Just Like Fire
34,D.R.A.M. feat. Lil Yachty,Broccoli
35,Bryson Tiller, Don't
36,Ariana Grande,Dangerous Woman
37,Drake & Future,Jumpman
38,gnash feat Olivia O'Brien, I Hate U I Love U
39,Alessia Cara,Here
40,Selena Gomez,Same Old Love
41,Drake,Controlla
42,Meghan Trainor feat John Legend,Like I'm Gonna Lose You
43,Charlie Puth,One Call Away
44,James Bay,Let It Go
45,Meghan Trainor,No
46,Zara Larsson & MNEK,Never Forget You
47,DJ Snake feat. Justin Bieber,Let Me Love You
48,Kent Jones,Don't Mind
49,Florida Georgia Line,H.O.L.Y.
50,Charlie Puth feat. Selena Gomez,We Don't Talk Anymore
51,Ariana Grande,Into You
52,Kiiara,Gold
53,Bryson Tiller,Exchange
54,Fetty Wap feat. Remy Boyz,679
55,Jeremih,Oui
56,Selena Gomez,Hands To Myself
57,Kevin Gates,2 Phones
58,The Weeknd feat. Daft Ounk,Starboy
59,DJ Khaled feat. Drake,For Free
60,Flume feat. Kai,Never Be Like You
61,The Weeknd,In The Night
62,Meghan Trainor,Me Too
63,Elle King, Ex's & Oh's
64,Thomas Rhett,Die A Happy Man
65,Post Malone,White Iverson
66,Nick Jonas feat. Tove Lo,Close
67,X Ambassadors,Unsteady
68,"Lil Wayne, Wiz Khalifa & Imagine Dragons With Logic & Ty Dolla $ign feat. X Ambassadors",Sucker For Pain
69,Yo Gotti feat. Nicki Minaj,Down In The DM
70,Tory Lanez,Luv
71,Beyonce,Sorry
72,The Weeknd,Can't Feel My Face
73,Coldplay,Hymn For The Weekend
74,Tory Lanez,Say It
75,Travis Scott,Antidote
76,Ruth B,Lost Boy
77,Ariana Grande feat. Nicki Minaj,Side To Side
78,Daya,"Sit Still, Look Pretty"
79,Taylor Swift,Wildest Dreams
80,DJ Snake feat. Bipolar Sunshine,Middle
81,Ellie Goulding,On My Mind
82,Drake feat. The Throne,Pop Style
83,Adele,When We Were Young
84,Daya,Hide Away
85,Major Lazer & DJ Snake feat. MO,Lean On
86,Shawn Mendes & Camila Cabello,I Know What You Did Last Summer
88,Silento,Watch Me
89,Chris Brown,Back To Sleep
90,Usher feat. Young Thug,No Limit
91, O.T. Genasis faet. Young Dolph,Cut It
92,Kevin Gates,Really Really
93,Fifth Harmony feat. Fetty Wap,All In My Head (Flex)
94,Hailee Steinfeld & grey feat. Zedd,Starving
95,Coldplay,Adventure Of A Lifetime
96,Tim McGraw,Humble And Kind
97,Future,Wicked
98,Desiigner,Tiimy Turner
99,Wiz Khalifa feat. Charlie Puth,See You Again
100,One Direction,Perfect